Time,X,Y,Direction,Down,Teleport,Jump,Combat
37.342,53,74,none,False,False,False,True
37.497,53,74,none,False,False,False,True
37.652,53,74,none,False,False,False,True
37.808,53,74,none,False,False,False,True
37.963,53,74,none,False,False,False,True
38.119,53,74,none,False,False,False,True
38.275,53,74,none,False,False,False,True
38.431,53,74,none,False,False,False,True
38.585,53,74,none,False,False,False,True
38.741,53,74,none,False,False,False,True
38.897,53,74,none,False,False,False,True
39.052,53,74,none,False,False,False,True
39.207,53,74,none,False,False,False,True
39.363,53,74,none,False,False,False,True
39.519,53,74,none,False,False,False,True
39.674,53,74,none,False,False,False,True
39.829,53,74,none,False,False,False,True
39.985,53,74,none,False,False,False,True
40.141,53,74,none,False,False,False,True
40.296,53,74,none,False,False,False,True
40.451,53,74,none,False,False,False,True
40.607,53,74,none,False,False,False,True
40.763,53,74,left,False,True,False,True
40.918,41,69,none,False,False,False,True
41.073,41,69,none,False,False,False,True
41.229,41,69,none,False,False,False,True
41.385,46,68,none,False,False,False,True
41.54,47,69,none,False,False,False,True
41.696,48,69,none,False,False,False,True
41.851,48,69,none,False,False,False,True
42.007,48,69,none,False,False,False,True
42.162,48,69,left,False,False,False,False
42.318,48,69,left,False,False,False,False
42.473,48,69,left,False,False,False,False
42.629,47,69,left,False,False,False,False
42.784,45,69,left,False,False,False,False
42.94,44,69,left,False,False,False,True
43.095,43,69,none,False,False,False,True
43.251,42,69,none,False,False,False,True
43.406,42,69,none,False,False,False,True
43.562,42,69,none,False,False,False,True
43.717,42,69,none,False,False,False,True
43.873,42,69,none,False,False,False,True
44.028,42,69,none,False,False,False,True
44.184,42,69,none,False,False,False,True
44.339,42,69,none,False,False,False,True
44.494,42,69,none,False,False,False,True
44.652,42,69,none,False,False,False,True
44.805,42,69,none,False,False,False,True
44.961,42,69,none,False,False,False,True
45.117,42,58,none,False,True,False,True
45.272,42,58,none,False,False,False,True
45.428,42,58,none,False,False,False,True
45.583,42,58,none,False,False,False,True
45.739,42,58,none,False,False,False,True
45.894,42,58,none,False,False,False,True
46.05,42,58,none,False,False,False,True
46.206,42,58,none,False,False,False,True
46.361,42,58,none,False,False,False,True
46.516,42,58,none,False,False,False,True
46.672,42,58,none,False,False,False,True
46.828,42,58,none,False,False,False,True
46.983,42,58,none,False,False,False,True
47.138,42,69,none,True,True,False,True
47.294,42,69,none,False,False,False,True
47.449,42,69,none,False,False,False,True
47.605,42,69,none,False,False,False,True
47.76,42,69,none,False,False,False,True
47.916,42,69,none,False,False,False,True
48.071,42,69,none,False,False,False,True
48.228,42,69,none,False,False,False,True
48.382,42,69,none,False,False,False,True
48.538,42,69,none,False,False,False,True
48.693,42,69,none,False,False,False,True
48.849,42,69,none,False,False,False,True
49.005,42,69,none,False,False,False,True
49.16,42,69,none,False,False,False,True
49.315,42,69,none,False,False,False,True
49.471,42,69,none,False,False,False,True
49.626,42,69,none,False,False,False,True
49.782,42,69,none,False,False,False,True
49.937,42,69,none,False,False,False,True
50.093,42,69,none,False,False,False,True
50.248,42,69,none,False,False,False,True
50.404,42,69,none,False,False,False,True
50.559,42,69,none,False,False,False,True
50.715,42,69,none,False,False,False,True
50.87,42,69,none,False,False,False,True
51.026,42,69,none,False,False,False,True
51.181,42,69,none,True,True,False,True
51.337,42,82,none,False,False,False,True
51.493,42,82,none,False,False,False,True
51.648,42,82,none,False,False,False,True
51.803,42,82,none,False,False,False,True
51.959,42,82,none,False,False,False,True
52.114,47,82,none,False,False,False,True
52.27,49,83,none,False,False,False,True
52.425,49,83,none,False,False,False,True
52.581,49,83,none,False,False,False,True
52.737,49,83,none,False,False,False,True
52.892,49,83,none,False,False,False,True
53.047,49,83,none,False,False,False,False
53.203,49,83,none,False,False,False,False
53.359,49,83,left,False,False,False,False
53.514,51,81,left,False,False,False,False
53.669,53,81,left,False,False,False,False
53.825,53,82,left,False,False,False,False
53.981,53,83,left,False,False,False,False
54.136,51,83,left,False,False,False,False
54.292,49,83,left,False,False,False,False
54.447,47,83,left,False,False,False,False
54.602,45,82,left,False,False,False,False
54.758,56,82,none,False,False,False,True
54.914,56,82,none,False,False,False,False
55.069,60,81,left,False,False,False,False
55.224,61,82,left,False,False,False,False
55.38,64,83,left,False,False,False,False
55.535,64,83,left,False,False,False,False
55.691,64,83,left,False,False,False,False
55.847,67,79,left,False,False,False,False
56.007,61,83,left,False,False,False,False
56.163,60,83,left,False,False,False,False
56.319,57,82,left,False,False,False,False
56.474,56,82,left,False,False,False,False
56.63,54,82,none,False,False,False,False
56.785,53,82,none,False,True,False,False
56.941,53,74,none,False,False,False,False
57.096,53,74,none,False,False,False,True
57.252,53,74,none,False,False,False,True
57.407,53,74,none,False,False,False,True
57.563,53,74,none,False,False,False,True
57.719,53,74,none,False,False,False,True
57.874,53,74,none,False,False,False,True
58.029,53,74,none,False,False,False,True
58.185,53,74,none,False,False,False,True
58.34,53,74,none,False,False,False,True
58.496,53,74,none,False,False,False,True
58.651,53,74,none,False,False,False,True
58.807,53,74,none,False,False,False,True
58.962,53,74,none,False,False,False,True
59.118,53,74,none,False,False,False,True
59.274,53,74,none,False,False,False,True
59.428,53,74,none,False,False,False,True
59.584,53,74,none,False,False,False,True
59.74,53,74,none,False,False,False,True
59.895,53,74,none,False,False,False,True
60.051,53,74,none,False,False,False,True
60.206,53,74,none,False,False,False,True
60.362,53,74,none,False,False,False,True
60.517,53,74,none,False,False,False,True
60.673,53,74,none,False,False,False,True
60.828,53,74,none,False,False,False,True
60.984,53,74,none,False,False,False,True
61.139,53,74,none,False,False,False,True
61.295,53,74,none,False,False,False,True
61.45,53,74,none,False,False,False,True
61.606,53,74,none,False,False,False,True
61.761,53,74,none,False,False,False,True
61.917,53,74,none,False,False,False,True
62.072,53,74,none,False,False,False,True
62.228,53,74,none,False,False,False,True
62.383,53,74,none,False,False,False,True
62.539,53,74,none,False,False,False,True
62.694,53,74,none,False,False,False,True
62.85,53,74,none,False,False,False,True
63.005,53,74,none,False,False,False,True
63.161,53,74,none,False,False,False,True
63.316,53,74,none,False,False,False,True
63.472,53,74,none,False,False,False,True
63.628,53,74,none,False,False,False,True
63.783,53,74,none,False,False,False,True
63.938,53,74,none,False,False,False,True
64.094,53,74,none,False,False,False,True
64.249,53,74,none,False,False,False,True
64.405,53,74,none,False,False,False,True
