
--- 녹화 세션 시작: 2026-06-05 02:52:40 ---
[2026-06-05 02:52:56] Time:15.561s | X:54, Y:81 | Dir:none | Teleport:False | Jump:False | Combat:False
[2026-06-05 02:52:56] Time:15.712s | X:54, Y:81 | Dir:left | Teleport:False | Jump:False | Combat:False
[2026-06-05 02:52:56] Time:15.863s | X:54, Y:81 | Dir:left | Teleport:False | Jump:False | Combat:False
[2026-06-05 02:52:56] Time:16.013s | X:54, Y:81 | Dir:left | Teleport:False | Jump:False | Combat:False
[2026-06-05 02:52:56] Time:16.164s | X:54, Y:79 | Dir:none | Teleport:False | Jump:False | Combat:False
[2026-06-05 02:52:56] Time:16.315s | X:55, Y:79 | Dir:left | Teleport:False | Jump:False | Combat:False
[2026-06-05 02:52:57] Time:16.466s | X:55, Y:80 | Dir:left | Teleport:False | Jump:False | Combat:False
[2026-06-05 02:52:57] Time:16.618s | X:55, Y:81 | Dir:none | Teleport:False | Jump:False | Combat:False
[2026-06-05 02:52:57] Time:16.768s | X:52, Y:80 | Dir:none | Teleport:False | Jump:False | Combat:False
[2026-06-05 02:52:57] Time:16.919s | X:53, Y:72 | Dir:none | Teleport:False | Jump:False | Combat:False
[2026-06-05 02:52:57] Time:17.071s | X:53, Y:72 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:52:57] Time:17.222s | X:53, Y:72 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:52:58] Time:17.373s | X:53, Y:72 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:52:58] Time:17.524s | X:53, Y:72 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:52:58] Time:17.675s | X:53, Y:72 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:52:58] Time:17.826s | X:53, Y:72 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:52:58] Time:17.977s | X:53, Y:72 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:52:58] Time:18.128s | X:53, Y:72 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:52:58] Time:18.279s | X:53, Y:72 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:52:59] Time:18.431s | X:53, Y:72 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:52:59] Time:18.582s | X:53, Y:72 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:52:59] Time:18.734s | X:53, Y:72 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:52:59] Time:18.884s | X:53, Y:72 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:52:59] Time:19.036s | X:53, Y:72 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:52:59] Time:19.186s | X:53, Y:72 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:52:59] Time:19.337s | X:53, Y:72 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:00] Time:19.489s | X:53, Y:72 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:00] Time:19.640s | X:53, Y:72 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:00] Time:19.791s | X:53, Y:72 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:00] Time:19.942s | X:53, Y:72 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:00] Time:20.093s | X:53, Y:72 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:00] Time:20.244s | X:53, Y:72 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:01] Time:20.395s | X:53, Y:72 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:01] Time:20.546s | X:53, Y:72 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:01] Time:20.697s | X:53, Y:72 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:01] Time:20.848s | X:53, Y:72 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:01] Time:20.999s | X:53, Y:72 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:01] Time:21.151s | X:53, Y:72 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:01] Time:21.302s | X:53, Y:72 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:02] Time:21.453s | X:53, Y:72 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:02] Time:21.604s | X:53, Y:72 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:02] Time:21.755s | X:53, Y:72 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:02] Time:21.906s | X:53, Y:72 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:02] Time:22.057s | X:53, Y:72 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:02] Time:22.208s | X:53, Y:72 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:03] Time:22.360s | X:53, Y:72 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:03] Time:22.511s | X:53, Y:72 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:03] Time:22.662s | X:53, Y:72 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:03] Time:22.813s | X:53, Y:72 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:03] Time:22.965s | X:53, Y:72 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:03] Time:23.116s | X:53, Y:72 | Dir:left | Teleport:False | Jump:False | Combat:False
[2026-06-05 02:53:03] Time:23.267s | X:41, Y:67 | Dir:left | Teleport:False | Jump:False | Combat:False
[2026-06-05 02:53:04] Time:23.418s | X:41, Y:67 | Dir:left | Teleport:False | Jump:False | Combat:False
[2026-06-05 02:53:04] Time:23.569s | X:41, Y:67 | Dir:left | Teleport:False | Jump:False | Combat:False
[2026-06-05 02:53:04] Time:23.720s | X:41, Y:67 | Dir:left | Teleport:False | Jump:False | Combat:False
[2026-06-05 02:53:04] Time:23.871s | X:39, Y:67 | Dir:left | Teleport:False | Jump:False | Combat:False
[2026-06-05 02:53:04] Time:24.023s | X:38, Y:67 | Dir:left | Teleport:False | Jump:False | Combat:False
[2026-06-05 02:53:04] Time:24.174s | X:36, Y:67 | Dir:left | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:04] Time:24.325s | X:35, Y:67 | Dir:left | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:05] Time:24.476s | X:34, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:05] Time:24.627s | X:34, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:05] Time:24.779s | X:34, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:05] Time:24.929s | X:34, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:05] Time:25.080s | X:34, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:05] Time:25.232s | X:34, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:06] Time:25.383s | X:34, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:06] Time:25.534s | X:34, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:06] Time:25.685s | X:37, Y:66 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:06] Time:25.836s | X:39, Y:66 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:06] Time:25.987s | X:41, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:06] Time:26.138s | X:41, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:06] Time:26.289s | X:41, Y:67 | Dir:left | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:07] Time:26.440s | X:29, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:07] Time:26.591s | X:29, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:07] Time:26.741s | X:29, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:07] Time:26.893s | X:29, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:07] Time:27.044s | X:29, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:07] Time:27.195s | X:29, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:08] Time:27.346s | X:29, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:08] Time:27.497s | X:29, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:08] Time:27.648s | X:29, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:08] Time:27.799s | X:29, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:08] Time:27.951s | X:29, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:08] Time:28.101s | X:29, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:08] Time:28.252s | X:29, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:09] Time:28.404s | X:29, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:09] Time:28.555s | X:29, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:09] Time:28.706s | X:29, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:09] Time:28.857s | X:29, Y:56 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:09] Time:29.008s | X:29, Y:56 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:09] Time:29.160s | X:29, Y:56 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:09] Time:29.310s | X:29, Y:56 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:10] Time:29.461s | X:29, Y:56 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:10] Time:29.613s | X:29, Y:56 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:10] Time:29.764s | X:29, Y:56 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:10] Time:29.915s | X:29, Y:56 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:10] Time:30.066s | X:29, Y:56 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:10] Time:30.217s | X:29, Y:56 | Dir:none | Teleport:False | Jump:False | Combat:False
[2026-06-05 02:53:11] Time:30.368s | X:29, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:11] Time:30.520s | X:29, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:11] Time:30.671s | X:29, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:11] Time:30.822s | X:29, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:11] Time:30.973s | X:29, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:11] Time:31.124s | X:31, Y:66 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:11] Time:31.275s | X:33, Y:66 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:12] Time:31.426s | X:35, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:12] Time:31.577s | X:36, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:12] Time:31.729s | X:36, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:12] Time:31.880s | X:36, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:12] Time:32.031s | X:36, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:12] Time:32.182s | X:36, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:12] Time:32.333s | X:36, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:13] Time:32.484s | X:36, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:13] Time:32.636s | X:37, Y:66 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:13] Time:32.787s | X:39, Y:66 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:13] Time:32.938s | X:42, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:13] Time:33.089s | X:42, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:13] Time:33.240s | X:42, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:14] Time:33.391s | X:42, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:14] Time:33.542s | X:42, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:14] Time:33.694s | X:42, Y:67 | Dir:left | Teleport:False | Jump:False | Combat:False
[2026-06-05 02:53:14] Time:33.845s | X:42, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:14] Time:33.996s | X:30, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:14] Time:34.147s | X:30, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:14] Time:34.298s | X:35, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:15] Time:34.449s | X:37, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:15] Time:34.600s | X:37, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:15] Time:34.751s | X:37, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:15] Time:34.902s | X:37, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:15] Time:35.054s | X:37, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:15] Time:35.205s | X:37, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:16] Time:35.356s | X:37, Y:67 | Dir:none | Teleport:False | Jump:False | Combat:False
[2026-06-05 02:53:16] Time:35.507s | X:36, Y:81 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:16] Time:35.658s | X:38, Y:79 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:16] Time:35.809s | X:40, Y:79 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:16] Time:35.961s | X:43, Y:80 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:16] Time:36.112s | X:43, Y:80 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:16] Time:36.263s | X:43, Y:80 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:17] Time:36.414s | X:43, Y:80 | Dir:none | Teleport:False | Jump:False | Combat:True
[2026-06-05 02:53:17] Time:36.565s | X:43, Y:80 | Dir:left | Teleport:False | Jump:False | Combat:False
[2026-06-05 02:53:17] Time:36.716s | X:43, Y:80 | Dir:left | Teleport:False | Jump:False | Combat:False
